constructorStandingsId,raceId,racename,raceround,constructorId,name,nationality,wiki,points,position,positionText,wins
8242,305,n°1 - United States Grand Prix,1,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,13,13,0
8241,305,n°1 - United States Grand Prix,1,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,0,12,12,0
8240,305,n°1 - United States Grand Prix,1,32,Team Lotus,#N/A,http://en.wikipedia.org/wiki/Team_Lotus,0,11,11,0
8239,305,n°1 - United States Grand Prix,1,34,Brabham,#N/A,http://en.wikipedia.org/wiki/Brabham,0,10,10,0
8238,305,n°1 - United States Grand Prix,1,17,Jordan,#N/A,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,0,9,9,0
8265,306,n°2 - Brazilian Grand Prix,2,36,Fondmetal,#N/A,http://en.wikipedia.org/wiki/Fondmetal,0,17,17,0
8264,306,n°2 - Brazilian Grand Prix,2,42,Coloni,#N/A,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,0,18,18,0
8263,306,n°2 - Brazilian Grand Prix,2,35,Dallara,#N/A,http://en.wikipedia.org/wiki/Dallara,0,14,14,0
8262,306,n°2 - Brazilian Grand Prix,2,27,Ligier,#N/A,http://en.wikipedia.org/wiki/Ligier,0,12,12,0
8261,306,n°2 - Brazilian Grand Prix,2,41,Leyton House,#N/A,http://en.wikipedia.org/wiki/Leyton_House,0,16,16,0
8260,306,n°2 - Brazilian Grand Prix,2,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,15,15,0
8259,306,n°2 - Brazilian Grand Prix,2,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,6,3,3,0
8258,306,n°2 - Brazilian Grand Prix,2,32,Team Lotus,#N/A,http://en.wikipedia.org/wiki/Team_Lotus,0,10,10,0
8257,306,n°2 - Brazilian Grand Prix,2,34,Brabham,#N/A,http://en.wikipedia.org/wiki/Brabham,0,13,13,0
8256,306,n°2 - Brazilian Grand Prix,2,17,Jordan,#N/A,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,0,11,11,0
8255,306,n°2 - Brazilian Grand Prix,2,18,Minardi,#N/A,http://en.wikipedia.org/wiki/Minardi,0,8,8,0
8254,306,n°2 - Brazilian Grand Prix,2,39,AGS,#N/A,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,0,9,9,0
8253,306,n°2 - Brazilian Grand Prix,2,40,Lambo,#N/A,http://en.wikipedia.org/wiki/Modena_(racing_team),0,7,7,0
8252,306,n°2 - Brazilian Grand Prix,2,33,Larrousse,#N/A,http://en.wikipedia.org/wiki/Larrousse,1,6,6,0
8284,307,n°3 - San Marino Grand Prix,3,26,Lola,#N/A,http://en.wikipedia.org/wiki/MasterCard_Lola,0,17,17,0
8283,307,n°3 - San Marino Grand Prix,3,36,Fondmetal,#N/A,http://en.wikipedia.org/wiki/Fondmetal,0,18,18,0
8282,307,n°3 - San Marino Grand Prix,3,42,Coloni,#N/A,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,0,19,19,0
8281,307,n°3 - San Marino Grand Prix,3,35,Dallara,#N/A,http://en.wikipedia.org/wiki/Dallara,4,6,6,0
8280,307,n°3 - San Marino Grand Prix,3,27,Ligier,#N/A,http://en.wikipedia.org/wiki/Ligier,0,11,11,0
8279,307,n°3 - San Marino Grand Prix,3,41,Leyton House,#N/A,http://en.wikipedia.org/wiki/Leyton_House,0,15,15,0
8278,307,n°3 - San Marino Grand Prix,3,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,16,16,0
8277,307,n°3 - San Marino Grand Prix,3,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,6,3,3,0
8276,307,n°3 - San Marino Grand Prix,3,32,Team Lotus,#N/A,http://en.wikipedia.org/wiki/Team_Lotus,3,8,8,0
8275,307,n°3 - San Marino Grand Prix,3,34,Brabham,#N/A,http://en.wikipedia.org/wiki/Brabham,0,12,12,0
8274,307,n°3 - San Marino Grand Prix,3,17,Jordan,#N/A,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,0,14,14,0
8273,307,n°3 - San Marino Grand Prix,3,18,Minardi,#N/A,http://en.wikipedia.org/wiki/Minardi,3,7,7,0
8272,307,n°3 - San Marino Grand Prix,3,39,AGS,#N/A,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,0,13,13,0
8271,307,n°3 - San Marino Grand Prix,3,40,Lambo,#N/A,http://en.wikipedia.org/wiki/Modena_(racing_team),0,10,10,0
8270,307,n°3 - San Marino Grand Prix,3,33,Larrousse,#N/A,http://en.wikipedia.org/wiki/Larrousse,1,9,9,0
8303,308,n°4 - Monaco Grand Prix,4,26,Lola,#N/A,http://en.wikipedia.org/wiki/MasterCard_Lola,0,15,15,0
8302,308,n°4 - Monaco Grand Prix,4,36,Fondmetal,#N/A,http://en.wikipedia.org/wiki/Fondmetal,0,18,18,0
